DATE,OVXCLS
2007-05-10,27.09
2007-05-11,26.41
2007-05-14,27.23
2007-05-15,27.89
2007-05-16,27.07
2007-05-17,24.86
2007-05-18,24.71
2007-05-21,24.67
2007-05-22,26.03
2007-05-23,26.35
2007-05-24,26.63
2007-05-25,25.81
2007-05-28,.
2007-05-29,27.83
2007-05-30,28.61
2007-05-31,28.44
2007-06-01,27.39
2007-06-04,27.36
2007-06-05,26.70
2007-06-06,25.94
2007-06-07,26.11
2007-06-08,26.51
2007-06-11,25.99
2007-06-12,25.81
2007-06-13,26.07
2007-06-14,26.35
2007-06-15,26.41
2007-06-18,27.15
2007-06-19,26.72
2007-06-20,27.14
2007-06-21,28.00
2007-06-22,28.16
2007-06-25,28.01
2007-06-26,27.79
2007-06-27,28.06
2007-06-28,27.95
2007-06-29,27.44
2007-07-02,27.52
2007-07-03,27.45
2007-07-04,.
2007-07-05,27.33
2007-07-06,27.40
2007-07-09,28.25
2007-07-10,27.37
2007-07-11,27.69
2007-07-12,27.35
2007-07-13,27.06
2007-07-16,28.00
2007-07-17,27.46
2007-07-18,27.91
2007-07-19,27.40
2007-07-20,26.69
2007-07-23,27.09
2007-07-24,27.42
2007-07-25,26.84
2007-07-26,27.79
2007-07-27,27.25
2007-07-30,30.16
2007-07-31,30.69
2007-08-01,29.73
2007-08-02,29.68
2007-08-03,29.32
2007-08-06,32.49
2007-08-07,29.48
2007-08-08,27.07
2007-08-09,29.73
2007-08-10,30.87
2007-08-13,30.82
2007-08-14,30.23
2007-08-15,31.14
2007-08-16,37.02
2007-08-17,35.46
2007-08-20,34.16
2007-08-21,34.33
2007-08-22,31.93
2007-08-23,29.85
2007-08-24,28.67
2007-08-27,28.98
2007-08-28,28.81
2007-08-29,28.88
2007-08-30,28.99
2007-08-31,28.86
2007-09-03,.
2007-09-04,29.49
2007-09-05,30.29
2007-09-06,31.11
2007-09-07,31.39
2007-09-10,30.82
2007-09-11,31.30
2007-09-12,30.25
2007-09-13,30.37
2007-09-14,29.37
2007-09-17,29.72
2007-09-18,29.77
2007-09-19,28.93
2007-09-20,30.57
2007-09-21,30.30
2007-09-24,29.19
2007-09-25,28.79
2007-09-26,28.40
2007-09-27,27.77
2007-09-28,29.32
2007-10-01,30.53
2007-10-02,30.74
2007-10-03,30.62
2007-10-04,30.12
2007-10-05,29.57
2007-10-08,31.07
2007-10-09,30.59
2007-10-10,30.24
2007-10-11,29.20
2007-10-12,28.61
2007-10-15,28.40
2007-10-16,29.80
2007-10-17,31.66
2007-10-18,32.04
2007-10-19,32.39
2007-10-22,32.27
2007-10-23,32.15
2007-10-24,31.34
2007-10-25,31.11
2007-10-26,32.74
2007-10-29,32.61
2007-10-30,34.65
2007-10-31,37.46
2007-11-01,39.71
2007-11-02,39.99
2007-11-05,40.14
2007-11-06,41.20
2007-11-07,41.37
2007-11-08,40.84
2007-11-09,37.06
2007-11-12,39.65
2007-11-13,38.69
2007-11-14,35.80
2007-11-15,34.56
2007-11-16,32.72
2007-11-19,31.45
2007-11-20,33.94
2007-11-21,34.38
2007-11-22,.
2007-11-23,36.08
2007-11-26,35.95
2007-11-27,34.34
2007-11-28,34.94
2007-11-29,36.47
2007-11-30,37.26
2007-12-03,38.51
2007-12-04,37.36
2007-12-05,36.00
2007-12-06,34.42
2007-12-07,35.01
2007-12-10,35.94
2007-12-11,35.22
2007-12-12,34.58
2007-12-13,35.41
2007-12-14,34.44
2007-12-17,33.44
2007-12-18,31.79
2007-12-19,31.42
2007-12-20,29.17
2007-12-21,26.91
2007-12-24,27.48
2007-12-25,.
2007-12-26,27.46
2007-12-27,32.07
2007-12-28,33.48
2007-12-31,36.35
2008-01-01,.
2008-01-02,37.23
2008-01-03,36.47
2008-01-04,34.50
2008-01-07,35.18
2008-01-08,34.61
2008-01-09,33.93
2008-01-10,33.48
2008-01-11,32.12
2008-01-14,32.73
2008-01-15,33.60
2008-01-16,33.56
2008-01-17,32.12
2008-01-18,31.46
2008-01-21,.
2008-01-22,37.14
2008-01-23,32.96
2008-01-24,32.96
2008-01-25,31.96
2008-01-28,33.18
2008-01-29,32.05
2008-01-30,30.64
2008-01-31,30.24
2008-02-01,29.77
2008-02-04,30.59
2008-02-05,31.59
2008-02-06,31.74
2008-02-07,30.77
2008-02-08,31.31
2008-02-11,31.94
2008-02-12,32.66
2008-02-13,31.45
2008-02-14,30.80
2008-02-15,30.17
2008-02-18,.
2008-02-19,33.59
2008-02-20,36.25
2008-02-21,34.74
2008-02-22,34.47
2008-02-25,33.87
2008-02-26,33.89
2008-02-27,33.57
2008-02-28,35.35
2008-02-29,34.82
2008-03-03,36.45
2008-03-04,34.85
2008-03-05,37.61
2008-03-06,38.27
2008-03-07,37.85
2008-03-10,39.71
2008-03-11,40.92
2008-03-12,41.70
2008-03-13,41.07
2008-03-14,41.12
2008-03-17,46.81
2008-03-18,42.30
2008-03-19,46.33
2008-03-20,43.76
2008-03-21,.
2008-03-24,40.56
2008-03-25,39.85
2008-03-26,39.29
2008-03-27,39.88
2008-03-28,38.52
2008-03-31,39.32
2008-04-01,39.72
2008-04-02,39.96
2008-04-03,40.77
2008-04-04,39.62
2008-04-07,42.14
2008-04-08,41.28
2008-04-09,41.58
2008-04-10,41.61
2008-04-11,38.10
2008-04-14,39.70
2008-04-15,40.36
2008-04-16,40.51
2008-04-17,40.59
2008-04-18,39.94
2008-04-21,36.32
2008-04-22,39.79
2008-04-23,38.11
2008-04-24,37.66
2008-04-25,37.91
2008-04-28,39.52
2008-04-29,39.34
2008-04-30,38.52
2008-05-01,38.80
2008-05-02,38.81
2008-05-05,40.15
2008-05-06,38.79
2008-05-07,38.62
2008-05-08,38.07
2008-05-09,37.43
2008-05-12,37.55
2008-05-13,38.11
2008-05-14,36.80
2008-05-15,38.77
2008-05-16,38.17
2008-05-19,38.51
2008-05-20,37.46
2008-05-21,38.69
2008-05-22,40.11
2008-05-23,38.61
2008-05-26,.
2008-05-27,40.74
2008-05-28,40.52
2008-05-29,41.38
2008-05-30,42.30
2008-06-02,43.10
2008-06-03,41.75
2008-06-04,40.77
2008-06-05,41.37
2008-06-06,52.03
2008-06-09,45.57
2008-06-10,48.13
2008-06-11,48.40
2008-06-12,50.17
2008-06-13,49.19
2008-06-16,50.45
2008-06-17,48.51
2008-06-18,46.15
2008-06-19,46.62
2008-06-20,47.16
2008-06-23,44.29
2008-06-24,44.49
2008-06-25,43.97
2008-06-26,44.68
2008-06-27,43.83
2008-06-30,45.11
2008-07-01,46.45
2008-07-02,46.05
2008-07-03,44.39
2008-07-04,.
2008-07-07,46.38
2008-07-08,48.41
2008-07-09,47.01
2008-07-10,46.91
2008-07-11,47.67
2008-07-14,47.24
2008-07-15,50.89
2008-07-16,52.02
2008-07-17,53.88
2008-07-18,53.73
2008-07-21,51.46
2008-07-22,50.94
2008-07-23,51.54
2008-07-24,50.70
2008-07-25,48.84
2008-07-28,49.28
2008-07-29,48.38
2008-07-30,47.17
2008-07-31,47.02
2008-08-01,46.83
2008-08-04,48.00
2008-08-05,48.47
2008-08-06,48.41
2008-08-07,46.99
2008-08-08,45.70
2008-08-11,45.57
2008-08-12,45.93
2008-08-13,46.86
2008-08-14,46.68
2008-08-15,48.35
2008-08-18,46.62
2008-08-19,44.77
2008-08-20,44.03
2008-08-21,45.14
2008-08-22,43.63
2008-08-25,44.48
2008-08-26,46.96
2008-08-27,48.21
2008-08-28,49.10
2008-08-29,50.22
2008-09-01,.
2008-09-02,46.69
2008-09-03,45.08
2008-09-04,44.79
2008-09-05,44.85
2008-09-08,45.20
2008-09-09,45.65
2008-09-10,45.35
2008-09-11,46.98
2008-09-12,45.75
2008-09-15,45.75
2008-09-16,51.56
2008-09-17,52.44
2008-09-18,54.57
2008-09-19,52.73
2008-09-22,57.47
2008-09-23,54.76
2008-09-24,53.99
2008-09-25,52.39
2008-09-26,52.70
2008-09-29,64.21
2008-09-30,59.56
2008-10-01,57.99
2008-10-02,57.85
2008-10-03,56.41
2008-10-06,65.02
2008-10-07,64.12
2008-10-08,62.60
2008-10-09,61.58
2008-10-10,70.52
2008-10-13,70.52
2008-10-14,70.52
2008-10-15,70.52
2008-10-16,75.09
2008-10-17,70.04
2008-10-20,69.38
2008-10-21,71.76
2008-10-22,83.79
2008-10-23,81.88
2008-10-24,84.59
2008-10-27,82.51
2008-10-28,92.90
2008-10-29,79.85
2008-10-30,80.35
2008-10-31,80.56
2008-11-03,84.07
2008-11-04,83.20
2008-11-05,83.63
2008-11-06,90.25
2008-11-07,85.63
2008-11-10,87.35
2008-11-11,87.41
2008-11-12,79.79
2008-11-13,82.27
2008-11-14,79.78
2008-11-17,80.66
2008-11-18,75.77
2008-11-19,71.60
2008-11-20,79.09
2008-11-21,79.70
2008-11-24,78.32
2008-11-25,81.68
2008-11-26,66.47
2008-11-27,.
2008-11-28,80.26
2008-12-01,85.31
2008-12-02,86.36
2008-12-03,88.45
2008-12-04,89.34
2008-12-05,93.08
2008-12-08,92.64
2008-12-09,98.93
2008-12-10,95.90
2008-12-11,100.42
2008-12-12,93.05
2008-12-15,93.05
2008-12-16,93.05
2008-12-17,95.12
2008-12-18,90.93
2008-12-19,86.67
2008-12-22,87.63
2008-12-23,91.81
2008-12-24,90.36
2008-12-25,.
2008-12-26,89.33
2008-12-29,95.91
2008-12-30,95.88
2008-12-31,88.93
2009-01-01,.
2009-01-02,87.67
2009-01-05,82.11
2009-01-06,79.58
