DATE,COMREPUSQ159N
2005-01-01,15
2005-04-01,13.6
2005-07-01,8.9
2005-10-01,11.2
2006-01-01,13.8
2006-04-01,14.7
2006-07-01,16.8
2006-10-01,11.2
2007-01-01,13.5
2007-04-01,13.1
2007-07-01,14
2007-10-01,15.7
2008-01-01,5.7
2008-04-01,-5.3
2008-07-01,-6.3
2008-10-01,-11.5
2009-01-01,-12.9
2009-04-01,-20.3
2009-07-01,-34
2009-10-01,-30.3
2010-01-01,-28.3
2010-04-01,-7.8
2010-07-01,8.4
2010-10-01,11.2
2011-01-01,19.9
2011-04-01,7.6
2011-07-01,6
2011-10-01,9.1
2012-01-01,4.8
2012-04-01,7
2012-07-01,11.1
2012-10-01,5.3
2013-01-01,7.3
2013-04-01,12.3
2013-07-01,13.9
2013-10-01,15.5
2014-01-01,13.600000
2014-04-01,12.600000
2014-07-01,9.3
2014-10-01,10.400000
2015-01-01,14.1
2015-04-01,11
2015-07-01,11.2
2015-10-01,9.6
2016-01-01,5.9
2016-04-01,6.4
2016-07-01,6.6
2016-10-01,5.9
