,Uncet
06/01/1927,4.744725642
07/01/1927,4.743176567
08/01/1927,4.754969634
10/01/1927,4.763823329
11/01/1927,4.768815322
12/01/1927,4.770357918
13/01/1927,4.77454508
14/01/1927,4.776512334
15/01/1927,4.781328765
17/01/1927,4.784215234
18/01/1927,4.79142883
19/01/1927,4.801187511
20/01/1927,4.811972447
21/01/1927,4.811260642
22/01/1927,4.81769284
24/01/1927,4.825983017
25/01/1927,4.836700901
26/01/1927,4.83991736
27/01/1927,4.853505988
28/01/1927,4.863176117
29/01/1927,4.864752116
31/01/1927,4.869640749
01/02/1927,4.874449328
02/02/1927,4.876186379
03/02/1927,4.878097946
04/02/1927,4.872285982
05/02/1927,4.878121496
07/02/1927,4.875841603
08/02/1927,4.878629009
09/02/1927,4.882812148
10/02/1927,4.887379761
11/02/1927,4.889214225
14/02/1927,4.890384866
15/02/1927,4.888586647
16/02/1927,4.892781663
17/02/1927,4.897972969
18/02/1927,4.911819518
19/02/1927,4.920546816
21/02/1927,4.923553673
23/02/1927,4.931974629
24/02/1927,4.938525083
25/02/1927,4.941137511
26/02/1927,4.944043861
28/02/1927,4.947783703
01/03/1927,4.946381881
02/03/1927,4.953047339
03/03/1927,4.94903094
04/03/1927,4.95138447
05/03/1927,4.948889748
07/03/1927,4.950960578
08/03/1927,4.955101776
09/03/1927,4.953452863
10/03/1927,4.953394918
11/03/1927,4.954916991
12/03/1927,4.957504118
14/03/1927,4.958528763
15/03/1927,4.95800748
16/03/1927,4.960007954
17/03/1927,4.966041658
18/03/1927,4.965483804
19/03/1927,4.965477299
21/03/1927,4.966273952
22/03/1927,4.966147508
23/03/1927,4.968596202
24/03/1927,4.964293789
25/03/1927,4.963306607
26/03/1927,4.96123723
28/03/1927,4.952209739
29/03/1927,4.947492215
30/03/1927,4.941372204
31/03/1927,4.942183614
01/04/1927,4.945124161
02/04/1927,4.949562151
04/04/1927,4.954278702
05/04/1927,4.958416167
06/04/1927,4.962505457
07/04/1927,4.963232266
08/04/1927,4.963823283
09/04/1927,4.962605949
11/04/1927,4.96055443
12/04/1927,4.959785135
13/04/1927,4.958816694
14/04/1927,4.96263522
16/04/1927,4.965775929
18/04/1927,4.965810587
19/04/1927,4.967045197
20/04/1927,4.972498757
21/04/1927,4.973442339
22/04/1927,4.97947971
23/04/1927,4.982354929
25/04/1927,4.988663188
26/04/1927,4.993325426
27/04/1927,4.999283481
28/04/1927,5.003863378
29/04/1927,5.001617945
30/04/1927,5.006605447
02/05/1927,5.005660351
03/05/1927,5.00646907
04/05/1927,5.00904484
05/05/1927,5.011127816
06/05/1927,5.020345501
07/05/1927,5.016983435
09/05/1927,5.019138039
10/05/1927,5.018043096
11/05/1927,5.018087691
